-13	-24	-4
-15	-27	0
-13	-31	-4
-9	-25	-4
-11	-27	0
-15	-25	-8
-16	-29	0
-16	-29	-4
-20	-29	-4
-20	-26	0
-24	-30	-4
-30	-24	-4
-33	-23	-4
-36	-27	-4
-42	-22	-8
-45	-25	-8
-46	-26	-8
-50	-18	-8
-52	-15	-8
-60	-8	-8
-66	-6	-8
-73	-4	-12
-77	-2	-12
-74	2	-12
-76	9	-12
-76	16	-16
-78	35	-16
-76	38	-12
-77	42	-12
-78	53	-16
-75	50	-16
-72	60	-12
-71	60	-12
-70	65	-12
-57	75	-8
-49	84	-8
-30	88	-4
-24	89	-4
-10	81	-4
-1	78	-4
12	78	-4
19	59	-8
19	50	-4
21	40	-4
25	38	0
27	30	0
26	22	0
23	18	0
24	13	-4
20	9	0
19	4	0
12	-6	-4
9	-7	-4
5	-13	-4
2	-15	-4
-5	-18	-4
-13	-20	-4
-14	-26	-4
-18	-25	-4
-27	-24	-8
-27	-27	-4
-41	-30	0
-50	-26	0
-53	-22	-8
-55	-15	-12
-60	-10	-12
-67	-6	-16
-63	-7	-12
-69	-5	-12
-76	-2	-16
-77	6	-16
-80	17	-16
-85	20	-12
-86	31	-16
-81	39	-16
-81	56	-12
-76	63	-12
-72	72	-16
-69	76	-12
-61	78	-12
-45	83	-16
-37	85	-16
-27	83	-16
-17	84	-16
-10	83	-12
5	77	-8
14	69	-4
20	66	-4
25	55	0
28	50	0
31	38	4
32	28	0
26	18	0
20	13	0
18	9	-4
14	6	-8
8	5	-12
5	-5	-8
4	-8	-12
5	-6	-8
-2	-8	-8
-7	-14	-8
-12	-21	-4
-16	-22	-4
-25	-21	-8
-33	-23	-12
-42	-24	-8
-47	-24	-8
-53	-23	-12
-54	-17	-12
-62	-9	-16
-71	-5	-12
-72	-4	-16
-70	-3	-16
-76	2	-12
-79	8	-12
-85	19	-8
-84	33	-12
-83	41	-12
-82	40	-8
-80	39	-8
-80	52	-4
-73	56	-8
-68	61	-8
-63	63	-8
-60	69	-8
-57	70	-8
-57	68	-8
-58	66	-8
